Weights/Scale,,,1,1.5,1,1.5,1,4,1.5,35,3,1.25,4,1.25,4,40,100
Sr. No.,Roll Number,Name,A1,Q1,A2,Q2,A3,A4,Q3,Mid,AWS Labs,Q4,A5,Q5,A6,Final,
,,,10,21,10,30,100,10,41,35,10,40,100,20,100,40,100
1,S1,N1,10,14,10,18,,10,15,20.125,9,16,,4,,24,54
2,S2,N2,10,14.5,10,0,95,10,28,28.4375,9,35,95,,95,34.90909091,84
3,S3,N3,10,0,0,0,55,0,,22.75,5,,,,,30.90909091,59
4,S4,N4,10,0,0,10,90,10,28,28,5,24,90,,100,35.27272727,81
5,S5,N5,10,15,10,25,,10,20,28.4375,10,22,,,,24.72727273,63
6,S6,N6,10,0,10,26,60,10,23,24.9375,10,23,100,12,100,27.63636364,73
7,S7,N7,8,13.5,0,24,20,10,,28,7,16,80,,,24.72727273,64
8,S8,N8,9,12,10,0,50,10,22,24.0625,10,23,80,2,65,28.72727273,69
9,S9,N9,10,15,10,30,100,10,28,31.5,10,37,100,17,100,34.90909091,91
10,S10,N10,10,6.5,10,23,,10,14,24.0625,10,15,85,,20,22.90909091,60
11,S11,N11,10,0,10,24,50,10,21,23.1875,10,,70,6,65,24.72727273,64
12,S12,N12,9,15.5,0,22,50,10,21,25.375,10,,90,7,,25.81818182,66
13,S13,N13,10,9,0,12,85,10,,24.5,6,14,85,,100,25.45454545,67
14,S14,N14,10,17,10,0,,10,,28,10,34,80,,,22.90909091,63
15,S15,N15,10,14,10,20,,10,18,22.3125,10,21,20,7,,24,57
16,S16,N16,6,0,10,20,,0,21,24.5,3,,,4,,24,54
17,S17,N17,9,0,10,11,,10,17,24.5,9,,80,6,60,23.63636364,61
18,S18,N18,10,15,10,28,40,10,14,25.375,10,24,70,,40,22.90909091,65
19,S19,N19,10,13.5,10,0,35,10,30,21.875,9,0,90,,,23.63636364,59
20,S20,N20,4,14.5,10,17,65,10,13,23.625,9,11,70,,100,25.81818182,67
21,S21,N21,10,13.5,10,23,,10,18,20.5625,6,17,60,,,20.72727273,52
22,S22,N22,0,9,10,0,,10,,24.5,7,20,,,,25.45454545,56
23,S23,N23,10,16,10,26,60,10,28,28.4375,10,20,95,8,100,28.36363636,78
24,S24,N24,10,13.5,0,19,50,10,21,26.6875,5,12,65,16,65,29.09090909,71
25,S25,N25,10,19,10,0,50,10,13,25.8125,10,30,,16,,30.90909091,69
26,S26,N26,10,0,10,20,50,10,24,22.3125,10,18,85,5,,25.81818182,63
27,S27,N27,10,16,10,29,70,10,25,28.875,10,24,90,12,65,28.72727273,78
28,S28,N28,10,11,10,17,,10,21,24.0625,10,20,30,,,24.36363636,59
29,S29,N29,10,15,10,24,60,10,25,24.0625,10,22,85,9,100,23.27272727,68
30,S30,N30,10,14.5,0,28,50,10,20,25.375,10,23,85,5,60,29.09090909,72
31,S31,N31,10,0,0,22,,10,18,17.5,10,9,,,65,21.09090909,49
32,S32,N32,10,15.5,10,25,85,10,27,25.375,10,36,100,12,100,32,80
33,S33,N33,10,16,10,20,95,10,27,29.3125,9,31,95,,100,30.18181818,81
34,S34,N34,10,14,10,25,100,10,25,29.3125,8,37,90,16,100,30.54545455,83
35,S35,N35,10,14.5,10,8,,10,14,20.5625,6,16,50,,,21.45454545,52
36,S36,N36,10,18,0,21,100,10,25,26.6875,6,,95,4,70,31.63636364,77
37,S37,N37,10,0,10,20,,10,33,26.6875,10,40,80,13,65,31.63636364,75
38,S38,N38,10,10,0,21,75,10,17,24.0625,5,18,,14,,29.45454545,64
39,S39,N39,10,12,10,0,,10,24,24.5,7,19,80,,,21.45454545,57
40,S40,N40,0,0,0,0,,,,17.0625,,,,,,6.181818182,24
41,S41,N41,10,10.5,10,0,,10,,27.125,10,18,80,,70,26.54545455,67
42,S42,N42,10,8,0,14,95,10,23,24.5,9,26,90,,100,25.45454545,69
43,S43,N43,10,20,10,28,20,10,10,22.75,10,26,95,,55,19.63636364,60
44,S44,N44,10,5.5,0,20,,0,18,19.6875,6,14,,6,,29.45454545,55
45,S45,N45,0,0,10,20,95,10,24,25.375,10,,80,,95,22.90909091,66
46,S46,N46,10,14,10,20,,8,20,19.6875,10,25,,0,30,23.27272727,54
47,S47,N47,10,13.5,10,0,,10,,24.9375,6,,,,,,31
48,S48,N48,10,12.5,10,22,95,10,18,28.875,9,28,95,,100,33.45454545,84
49,S49,N49,10,0,5,20,100,8,26,28,7,14,60,11,100,25.45454545,72
50,S50,N50,0,9,0,0,,10,17,18.375,8,10,,,70,18.90909091,46
